"Data Source","WDI Database Archives",

"Last Updated Date","2025-10-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.782394528389","21.8879774808884","21.7558615207673","21.1907269954682","21.6042219400406","25.4425572156906","21.1890805959701","21.0186681747436","21.2080910205841","20.7602878808975","15.0907712578773","14.5110905766487","14.6107723712921","15.0040093064308","17.3434845209122","16.9007886052132","18.4153926372528","18.5720574855805","15.473827123642","5.56808596849441","","",
"Andorra","AND","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-36.9778323173524","","-35.738960981369","","-36.9570844173432","","-26.9906792640687","-19.8430110216141","-15.9617139101028","-20.8551347255707","-25.0276553630829","-24.4919521808624","-25.9894374608993","-25.6415363550187","-25.1388355493545","-25.0685070753098","-23.3867483139037","-23.808912396431","-23.1336107254029","-23.6104743480682","-21.8345903158188","-23.5087496042252","-25.4596203565598","-25.7509673833848","-27.3027756214141","-28.2841588258743","-26.3171101808549","-13.9090958833695","","",
"Africa Western and Central","AFW","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-14.618979871273","","-17.9368209838867","","-18.275580406189","","-19.2466704845429","-19.1177659034729","-22.608192205429","-18.8620265722275","-23.4792218208312","-20.4989435672761","-18.0529507398606","-16.0721269249916","-19.3620191812515","-20.2991987466812","-16.8180245757103","-21.1388312578202","-17.9525961875916","-15.6826398968697","-16.4059773683548","-16.0855082273483","-17.0087106823921","-19.0513960123062","-21.2217342853546","-18.9591606855393","-14.4652451276779","-7.06236708164218","","",
"Albania","ALB","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.7059943675995","","-12.4542431235313","","-15.6022627353668","","-10.6136674880981","-9.60301595926285","-6.94438847899437","-11.86391299963","-9.89319944381714","-7.2824010848999","-6.25150290131569","-4.34784007072449","-4.74840641021729","-3.43160454928876","-4.56857815384866","-5.50912037491798","-0.837231993675232","0.568571014329791","0.591470696032047","1.76721049845219","1.4597631841898","-0.971113346517086","-2.54488082230091","-0.509506552014499","0.907223649322987","1.75598749518394","","",
"Andorra","AND","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.0386409759521","","23.8570573329925","","23.4682743549346","","23.2512948513031","22.9318923950196","25.5627204179764","21.8879774808884","26.1517403125764","25.5284075737","25.9812489748002","26.1148167848587","25.7155594825744","25.481065750122","25.8959490060806","26.0538235902786","29.1078491210938","29.7189413309097","30.835663318634","32.0679159164429","32.1177886724472","31.631012916565","29.9389370679855","29.9360196590423","20.9339596033096","10.3280709981918","","",
"Netherlands Antilles","ANT","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab League states","ARB","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.2028738856316","","12.7934747338295","","12.7106533646584","","13.5383168458939","9.09562599658966","11.6663627028465","12.147468984127","16.0535207986832","15.9541381001472","15.1842521429062","17.0887729525566","15.5385431051254","18.1388382911683","19.7070198059082","20.1778433322906","24.6197423934937","25.5237410068512","23.9734679460525","23.9536699056626","24.2393622398377","23.4359048604965","21.9479876756668","23.3033208847046","18.1936315298081","11.2299733161926","","",
"Argentina","ARG","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.81673084199429","","5.58811238408089","","-0.476657791063189","","-3.88414423167705","-0.577317044138909","0.264770070090889","-1.67298529297113","-0.583156395703554","-0.210488510318101","-2.10298010706901","-5.00337019562721","-1.89922282844781","-1.22751426696777","-3.51693496108055","-4.3153869509697","-1.88085432350636","-0.741403866559267","3.81556367874146","2.38384221494198","0.555826921015978","-1.9798309803009","-4.2294226884842","-6.53159061074257","-3.96456900238991","-2.64262139797211","","",
"Armenia","ARM","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-6.46959567070007","","-9.29503387212753","","-9.2890990972519","","-0.778077535331249","-3.33400450646877","-1.98176682740449","-2.41275510191917","-4.44417762756347","-6.47995308041573","-3.00355111062527","-0.436362316831946","-2.90050846338272","-1.93738513439893","-0.534119937568903","1.35481925308704","-4.34741076827049","-5.47058156132698","-5.19563063979149","-4.16507461667061","-2.81100794672966","-3.75646956264973","-5.08757889270782","-4.69754081964493","-4.40315318107605","-1.28890977799893","","",
"American Samoa","ASM","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.15966804325581","3.81937812268733","4.17234508693218","8.17768636345863","8.47313928604126","8.46498277783394","8.29070740938187","8.18256795406342","8.18006896972656","8.27757883071899","7.45887660980224","7.65757644176483","8.34319069981575","8.81819379329681","8.62005549669266","8.47354710102081","10.9273478984833","11.0371297597885","9.34883087873459","4.57917439937592","","",
"Antigua and Barbuda","ATG","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.9636824131012","","11.0864806771278","","10.5199837684631","","9.65691530704498","9.80376678705216","9.18441760540008","7.60781434178352","6.93504387140274","6.78491774201394","8.47313928604126","8.46498277783394","8.29070740938187","8.18256795406342","8.18006896972656","8.27757883071899","-1.20071262866259","3.24530373513699","3.84469598531723","-0.481694952119142","-0.779037548229098","-0.789439553394914","-3.33134408295154","-3.13703744113445","-2.23629868030548","2.6628757417202","","",
"Australia","AUS","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.6095969676972","","27.5080068111419","","29.4468938112259","","28.2063769102097","30.1433937549592","33.7426233291626","29.6836074590683","29.0331385135651","30.920220375061","30.339229106903","28.9327795505524","29.9770493507386","28.7317029237747","27.4225813150406","27.7551674842834","27.2197635173798","26.1526626348495","26.1446377038956","25.5680056810379","26.54993891716","26.236787557602","26.8601267337799","25.1588127613068","21.4011515378952","11.129157423973","","",
"Austria","AUT","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.4380438327789","","30.6596063375473","","31.4035091400146","","31.9638787508011","32.8152705430984","31.3427480459213","28.5505619049073","31.0643676519394","31.6785618066788","30.1163723468781","28.2659636735917","30.8122568130493","27.2484036684037","26.522287607193","26.7182785272599","26.4069669246674","24.7506361007691","25.1650660037994","25.0447317361832","24.8495993614197","25.4540288448334","27.4225915670394","26.1182289123535","20.5126106739044","9.28677046298981","","",
